Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2/18/2010,543.9,543.9,531.65,532.75,538.0889003,7784,481,4188484,3210,41.24,12.25,-11.15
2/17/2010,538.8,549.45,536,539.5,543.8318335,16668,997,9064589,3462,20.77,13.45,0.7
2/16/2010,527,539.8,526.05,535.55,532.6347895,10049,422,5352447,5327,53.01,13.75,8.55
2/15/2010,528,531.9,525.1,527.3,528.8622247,3542,351,1873230,1152,32.52,6.8,-0.7
2/11/2010,525,529.9,519,526.5,525.5576601,13146,859,6908981,3687,28.05,10.9,1.5
2/10/2010,534,538,517,521.2,530.1647169,30003,1233,15906532,4578,15.26,21,-12.8
2/9/2010,526,534.55,520,530.4,529.6197389,25969,1251,13753695,4037,15.55,14.55,4.4
2/8/2010,510,529.9,510,524.45,522.7282513,12541,882,6555535,5490,43.78,19.9,14.45
2/6/2010,518,518.9,514.15,516.95,516.0496466,5660,174,2920841,2997,52.95,4.75,-1.05
2/5/2010,515.15,520,510.15,515.95,515.2200337,17820,901,9181221,8484,47.61,9.85,0.8
2/4/2010,531.1,533,523.05,527.1,527.831925,29112,948,15366243,19108,65.64,9.95,-4
2/3/2010,528.5,536.6,524.5,531.1,530.8859405,22988,1373,12204006,6863,29.85,12.1,2.6
2/2/2010,529.7,541,518.6,522.4,532.2499575,35314,1906,18795875,6151,17.42,22.4,-7.3
2/1/2010,528,536,515.7,525.25,522.7258619,45364,1764,23712936,21110,46.53,20.3,-2.75
1/29/2010,520,532,505.05,526.95,519.8847568,28557,1427,14846349,10185,35.67,26.95,6.95
1/28/2010,560.6,560.9,527.1,530.05,541.3833463,24487,1240,13256854,10491,42.84,33.8,-30.55
1/27/2010,557.65,560,549.35,552.4,552.9799917,62574,760,34602170,50005,79.91,10.65,-5.25
1/25/2010,556.8,561,544,559.3,555.0807261,19337,712,10733596,8503,43.97,17,2.5
1/22/2010,550,562.1,535.2,559.35,553.3549345,33671,1310,18632014,15791,46.9,26.9,9.35
1/21/2010,595.5,595.5,565,568.3,579.8305159,45432,1670,26342860,15198,33.45,30.5,-27.2
1/20/2010,602.5,606.05,580.5,590.3,594.894516,17159,920,10207795,4348,25.34,25.55,-12.2
1/19/2010,606.5,609.9,582.1,598.45,599.4731377,42085,1223,25228827,21877,51.98,27.8,-8.05
1/18/2010,606,621,605,607.45,614.3786538,94012,2960,57758966,20361,21.66,16,1.45
1/15/2010,592.1,615,590,606,606.9820201,104728,3300,63568013,24223,23.13,25,13.9
1/14/2010,596,596,583,588.65,588.0231253,20497,646,12052710,7887,38.48,13,-7.35
1/13/2010,578,585,571.05,583.15,579.8953499,32279,1006,18718442,12584,38.99,13.95,5.15
1/12/2010,594,594,570,577.15,581.3157225,32196,1013,18716041,13001,40.38,24,-16.85
1/11/2010,587.5,594.5,585,590.3,590.1887416,24213,935,14290240,8881,36.68,9.5,2.8
1/8/2010,595.95,599,556.25,588.15,591.2124296,76736,2232,45367277,29800,38.83,42.75,-7.8
1/7/2010,584.9,593,576,589.1,585.4625557,34558,1281,20232415,12154,35.17,17,4.2
1/6/2010,582.9,587.95,575.1,577.7,581.7050324,23945,906,13928927,8714,36.39,12.85,-5.2
1/5/2010,585,590.05,576,579.75,583.0575556,51776,1816,30188388,18523,35.78,14.05,-5.25
1/4/2010,573.7,583,568.1,579.15,577.7869214,38995,1449,22530801,12564,32.22,14.9,5.45
12/30/2009,574,576.95,566,573,571.7888542,31348,981,17924437,13715,43.75,10.95,-1
12/29/2009,569.3,578.45,565,572.3,572.7607688,71433,1626,40914020,39705,55.58,13.45,3
12/24/2009,568,569.9,560.95,564.6,564.8739091,19938,768,11262456,6919,34.7,8.95,-3.4
12/23/2009,550.5,567.9,550.5,563,559.8171258,26860,986,15036688,10263,38.21,17.4,12.5
12/22/2009,552,554.5,547,550.3,550.740481,9980,505,5496390,2686,26.91,7.5,-1.7
12/21/2009,557,560.9,541.3,544.6,551.1362014,15411,1066,8493560,4459,28.93,19.6,-12.4
12/18/2009,565.25,573.5,552.35,554.15,563.1694284,40011,1888,22532972,10196,25.48,21.15,-11.1
12/17/2009,557.7,569.75,553.15,565.25,564.3323684,53546,2084,30217741,15026,28.06,16.6,7.55
12/16/2009,550.6,560,545,554.35,554.0440071,28609,1394,15850645,5531,19.33,15,3.75
12/15/2009,564.9,574.75,548.4,550.75,561.1743891,45668,1999,25627712,11874,26,26.35,-14.15
12/14/2009,574.75,578.15,559,561.2,568.7262551,88798,3431,50501754,18187,20.48,19.15,-13.55
12/11/2009,543.5,583,543.5,574.95,569.9659468,249022,7128,141934060,73413,29.48,39.5,31.45
12/10/2009,535.5,547,535.5,543.4,543.0946971,21215,871,11521754,6405,30.19,11.5,7.9
12/9/2009,541,551.05,540,540.8,545.0396299,28968,1335,15788708,7081,24.44,11.05,-0.2
12/8/2009,543.45,546.95,539,544.65,542.9632392,22524,949,12229704,7364,32.69,7.95,1.2
12/7/2009,540,556,539,541.25,548.9207294,69534,2361,38168654,11200,16.11,17,1.25
12/4/2009,535,545.9,532,539.05,540.3710811,24752,961,13375265,8094,32.7,13.9,4.05
12/3/2009,544.4,544.4,532,534.75,538.5248807,16760,602,9025677,7362,43.93,12.4,-9.65
12/2/2009,540,547,536.1,537.85,541.9690746,34470,1149,18681674,10366,30.07,10.9,-2.15
12/1/2009,540,548.9,535,538.5,541.7298933,66259,2240,35894481,14134,21.33,13.9,-1.5
11/30/2009,531.9,533.35,524.05,529.5,530.117432,42118,1337,22327486,22214,52.74,9.3,-2.4
11/27/2009,521.9,524,508,521.35,517.2725483,42664,1346,22068916,20440,47.91,16,-0.55
11/26/2009,528.9,541.7,526,528.6,529.5956872,149461,2162,79153901,115821,77.49,15.7,-0.3
11/25/2009,530,536.45,525.2,527,530.9604035,27856,947,14790433,11451,41.11,11.25,-3
11/24/2009,529.2,531,524.1,528.05,527.5242785,23457,605,12374137,11287,48.12,6.9,-1.15
11/23/2009,528,534,526,527.2,529.2527824,30639,943,16215776,16191,52.84,8,-0.8
11/20/2009,524.8,527,515,524.55,520.4938386,48366,1235,25174205,31379,64.88,12,-0.25
11/19/2009,538.9,540.45,523.6,526.1,530.8097996,29348,945,15578206,13664,46.56,16.85,-12.8
11/18/2009,540.5,544.8,536.05,538.2,540.9537555,46492,777,25150022,34057,73.25,8.75,-2.3
11/17/2009,542.7,545.8,535.5,539.7,541.2196543,66245,1660,35853096,22607,34.13,10.3,-3
11/16/2009,542.1,549.9,533.3,539.25,543.070948,67782,2642,36810435,21891,32.3,16.6,-2.85
11/12/2009,531,538.8,520,523.75,530.9470208,66007,2020,35046220,26636,40.35,18.8,-7.25
11/11/2009,532.8,537,528,529.9,531.8112826,56937,1678,30279739,27192,47.76,9,-2.9
11/10/2009,520,545,520,529.45,535.3139785,117645,3586,62977013,33007,28.06,25,9.45
11/9/2009,522,527.5,520,521.55,523.7135999,88111,1569,46144929,59510,67.54,7.5,-0.45
11/6/2009,517,532.1,514,516.6,523.0164979,78616,2230,41117465,37770,48.04,18.1,-0.4
11/5/2009,514.9,522.9,512,515.65,515.8405341,91286,1037,47089019,69459,76.09,10.9,0.75
11/4/2009,520,523.2,509,515.25,515.7955581,44125,1330,22759479,17297,39.2,14.2,-4.75
11/3/2009,525,540,505,509.5,524.4045432,36362,2024,19068398,10594,29.13,35,-15.5
10/30/2009,562.45,562.8,518.1,529.05,534.3619804,153710,3419,82136780,65064,42.33,44.7,-33.4
10/29/2009,550,559.9,540,550.75,548.9797164,33574,1396,18431445,5942,17.7,19.9,0.75
10/28/2009,553.95,562,540.9,552.25,552.717197,41170,1386,22755367,14089,34.22,21.1,-1.7
10/26/2009,563.9,575,553.05,569.85,565.7545164,43840,1162,24802678,18857,43.01,21.95,5.95
10/23/2009,572,580,560,564.25,570.7073253,29719,1197,16960851,9822,33.05,20,-7.75
10/22/2009,574,588.5,564.05,569.9,577.7159458,79168,2636,45736616,22797,28.8,24.45,-4.1
10/21/2009,604.2,610,562.05,575.85,596.3894537,168780,4909,100658612,58605,34.72,47.95,-28.35
10/20/2009,575,609.8,570.55,603.1,592.2740895,217761,4521,128974198,65162,29.92,39.25,28.1
10/17/2009,579.4,579.4,570,572.8,575.9505176,11398,408,6564684,5175,45.4,9.4,-6.6
10/16/2009,568,583,563,575.6,575.942911,99231,2856,57151391,20701,20.86,20,7.6
10/15/2009,564.75,567.9,558.1,559.8,562.1939632,18354,529,10318508,6001,32.7,9.8,-4.95
10/14/2009,568,571,558.1,562.1,564.8613224,25772,911,14557606,10443,40.52,12.9,-5.9
10/12/2009,554,564.25,553.05,560.45,558.9811385,23487,1084,13128790,5083,21.64,11.2,6.45
10/9/2009,566,574,548.2,552.45,564.2072747,55260,2179,31178094,17653,31.95,25.8,-13.55
10/8/2009,555.25,574.15,550.5,564.95,566.2128103,99436,2826,56301937,30436,30.61,23.65,9.7
10/7/2009,554,563.6,550,552.95,558.6027316,89398,2062,49937967,33074,37,13.6,-1.05
10/6/2009,544,554,526,548.65,539.1343538,46385,1908,25007747,10238,22.07,28,4.65
10/5/2009,550,558,536.1,539.15,548.1813468,41655,1412,22834494,15616,37.49,21.9,-10.85
10/1/2009,555.2,572.35,550.4,558.35,562.4524817,121532,3885,68355975,33907,27.9,21.95,3.15
9/30/2009,551.1,565.95,550.5,553.05,557.6860227,55590,2485,31001766,13206,23.76,15.45,1.95
9/29/2009,561.7,564.9,547,549.85,555.2075465,28755,1177,15964993,11463,39.86,17.9,-11.85
9/25/2009,547,558,541.15,555.65,552.6013351,63364,2543,35015031,22447,35.43,16.85,8.65
9/24/2009,541.5,559.5,535,550.65,550.9648319,163415,4940,90035918,38269,23.42,24.5,9.15
9/23/2009,574.4,575,541.15,546.85,560.6375147,129837,5198,72791493,38992,30.03,33.85,-27.55
9/18/2009,546.4,558,538,544.55,548.3525052,120350,4567,65994224,25058,20.82,20,-1.85
9/17/2009,529.4,550,528,544.55,541.3427479,311042,8226,168380331,77163,24.81,22,15.15
9/16/2009,527,536.5,520.95,523.5,527.2379799,89163,2863,47010120,36526,40.97,15.55,-3.5
9/15/2009,519.4,526.4,514,522.1,522.0810587,64114,2402,33472705,26811,41.82,12.4,2.7
9/14/2009,515.1,519.8,507.6,511.05,512.257287,32695,1462,16748252,10547,32.26,12.2,-4.05
9/11/2009,523,530,513.55,519,520.5490661,68795,2796,35811173,16153,23.48,16.45,-4
9/10/2009,543,547,519.05,520.7,532.9122138,103809,3723,55321084,30971,29.83,27.95,-22.3
9/9/2009,520,540.8,517.5,535.4,530.6481971,204029,4905,108267621,80172,39.29,23.3,15.4
9/8/2009,524.9,530,514,517.15,523.635199,51206,1952,26813264,13330,26.03,16,-7.75
9/7/2009,514.4,524.7,500,519.4,518.4198805,18410,1029,9544110,7105,38.59,24.7,5
9/4/2009,514.8,518.4,500.05,515.35,511.8822539,55815,2088,28570708,31380,56.22,18.35,0.55
9/3/2009,522.7,526.7,504,510.4,518.0618077,36112,1735,18708248,11623,32.19,22.7,-12.3
9/2/2009,512.5,521.7,511,515.5,516.5643385,36510,1243,18859764,17632,48.29,10.7,3
9/1/2009,529.7,535,514,518.35,524.9755192,104449,2442,54833168,43057,41.22,21,-11.35
8/31/2009,520,543.9,511.1,525.1,529.8958659,72906,3573,38632588,14679,20.13,32.8,5.1
8/28/2009,510,532.7,508.05,519.15,521.4761246,60020,2466,31298997,16863,28.1,24.65,9.15
8/27/2009,514.5,518.5,501.15,505.8,510.4808204,43249,1743,22077785,16549,38.26,17.35,-8.7
8/26/2009,523,523.8,511,513.15,516.8511292,25062,1037,12953323,14201,56.66,12.8,-9.85
8/25/2009,521,524,515.85,518.75,519.6779798,16058,863,8344989,5082,31.65,8.15,-2.25
8/24/2009,511.9,525.85,511.9,518.8,519.25632,42049,1570,21834209,21269,50.58,13.95,6.9
8/21/2009,504,512,499,508.4,506.8961877,28513,1316,14453131,4726,16.57,13,4.4
8/20/2009,505,514.9,501.15,502.9,507.6996598,27632,1566,14028757,8078,29.23,13.75,-2.1
8/19/2009,504,509.9,494,498.75,503.6947215,34385,1778,17319543,9849,28.64,15.9,-5.25
8/18/2009,497,505.9,489.05,500.05,498.1881781,21384,1685,10653256,4549,21.27,16.85,3.05
8/17/2009,502,510,490,492.5,500.6014653,28936,1808,14485404,10516,36.34,20,-9.5
8/14/2009,514,528.8,510.3,513.75,519.5007393,71686,2768,37240930,18159,25.33,18.5,-0.25
8/13/2009,509,520,502.5,512.95,511.944515,44120,2236,22586992,14341,32.5,17.5,3.95
8/12/2009,490,503,484,499.25,491.7999778,36036,1391,17722504,14503,40.25,19,9.25
8/11/2009,497.4,511.8,478,492.2,497.2262489,61092,3105,30376546,12789,20.93,33.8,-5.2
8/10/2009,506.6,513,486,490.75,497.7264655,36712,1915,18272534,8061,21.96,27,-15.85
8/7/2009,519,528.9,496.15,503,513.2069188,41770,2023,21436653,14784,35.39,32.75,-16
8/6/2009,544,544,520,522.4,531.9209681,39832,1939,21187476,13592,34.12,24,-21.6
8/5/2009,540.25,558,465,544.95,545.4444651,43126,1544,23522838,14136,32.78,93,4.7
8/4/2009,559,565.9,544.6,553.1,556.6914019,192007,5578,106888646,40370,21.03,21.3,-5.9
8/3/2009,529.95,548.25,529.95,543.3,540.0923075,75736,3021,40904431,30269,39.97,18.3,13.35
7/31/2009,527.9,533.95,522,528.7,528.1026477,62544,1859,33029652,29054,46.45,11.95,0.8
7/30/2009,519,529.75,513.55,521.05,523.008518,42733,1588,22349723,11373,26.61,16.2,2.05
7/29/2009,532.1,548.9,495,518.75,527.313157,179782,5508,94801414,49678,27.63,53.9,-13.35
7/28/2009,523,537.35,519.95,534.75,530.7492743,97832,3364,51924263,39801,40.68,17.4,11.75
7/27/2009,521.9,529,513.3,520.15,520.4373289,122393,3098,63697886,57669,47.12,15.7,-1.75
7/24/2009,535,541,515,517.1,525.6607337,109557,3494,57589813,35055,32,26,-17.9
7/22/2009,520,522.85,494,499.15,509.2386805,65418,2499,33313376,20841,31.86,28.85,-20.85
7/21/2009,518.9,534.2,511,514.35,524.4038789,207223,6584,108668545,39996,19.3,23.2,-4.55
7/20/2009,495,518.5,491.15,516,505.1869031,251205,6316,126905476,62885,25.03,27.35,21
7/17/2009,490.1,493.45,477,489.6,487.3520967,96820,1787,47185430,61561,63.58,16.45,-0.5
7/16/2009,483.9,499,480.1,485.05,490.5799613,83828,2592,41124337,29353,35.02,18.9,1.15
7/15/2009,469.7,482,468,477.85,476.4073164,61861,2166,29471033,18660,30.16,14,8.15
7/14/2009,462,475,459,465.15,468.9930496,102584,1362,48111183,77166,75.22,16,3.15
7/13/2009,465,465,434,449.95,448.0252298,113556,2929,50875953,44204,38.93,31,-15.05
7/10/2009,509,512,465.5,474.85,495.5303542,288807,6798,143112635,68684,23.78,46.5,-34.15
7/9/2009,459.6,512.95,450.5,506.05,492.9272046,303302,7204,149505807,70076,23.1,62.45,46.45
7/8/2009,440,459.6,431,450,447.8292036,93064,2623,41676777,35630,38.29,28.6,10
7/7/2009,438,449,430.5,443.3,441.1801678,61143,2225,26975079,18208,29.78,18.5,5.3
7/6/2009,482.75,490,425.15,429.35,456.4587595,99732,3071,45523545,44423,44.54,64.85,-53.4
7/3/2009,475.8,483.95,468,476.6,478.1913571,45193,1834,21610902,12984,28.73,15.95,0.8
7/2/2009,489.6,493.9,471,474.05,483.1072607,69718,2447,33681272,22024,31.59,22.9,-15.55
7/1/2009,489.6,505.95,476,485.95,489.5928785,101046,3280,49471402,19706,19.5,29.95,-3.65
6/30/2009,529.95,537.7,480.15,487,516.4203151,237498,6886,122648792,78701,33.14,57.55,-42.95
6/29/2009,491.1,530.05,485.2,521.75,516.6387307,141490,3462,73099214,61204,43.26,44.85,30.65
6/26/2009,493.9,511.5,490.25,492.7,501.2687974,61950,2309,31053602,17373,28.04,21.25,-1.2
6/25/2009,494.8,502.8,481,492,491.7281906,65866,2150,32388169,22969,34.87,21.8,-2.8
6/24/2009,494.7,499.05,479,490.95,490.3575023,74724,2727,36641474,18370,24.58,20.05,-3.75
6/22/2009,450.2,465,448.5,458.85,458.4391613,50790,1700,23284125,11874,23.38,16.5,8.65
6/19/2009,435,452,430,446.9,443.0957151,40934,2010,18137680,11564,28.25,22,11.9
6/18/2009,440,442,411,425.15,423.6768551,38475,1893,16300967,8540,22.2,31,-14.85
6/17/2009,465,466.4,433,439.75,450.9073649,39607,1640,17859088,13869,35.02,33.4,-25.25
6/16/2009,425,467.6,425,464.7,453.8861043,65121,1926,29557517,27025,41.5,42.6,39.7
6/15/2009,462.5,467.9,433,438.35,449.1070704,33025,1493,14831761,12941,39.19,34.9,-24.15
6/12/2009,480,491.5,461.15,465,477.477771,42512,1626,20298535,11551,27.17,30.35,-15
6/11/2009,476,490,468,475,478.3603969,42431,1628,20297310,11798,27.81,22,-1
6/10/2009,487.6,502,468,472.9,482.3942591,59712,2001,28804726,25930,43.43,34,-14.7
6/9/2009,463,481.85,441.1,478.35,467.1788441,38637,1945,18050389,11136,28.82,40.75,15.35
6/8/2009,500,518,455.55,463.7,489.7112708,48710,1889,23853836,21457,44.05,62.45,-36.3
6/5/2009,509.5,530,490,504.2,516.1081827,138682,4380,71574915,30621,22.08,40,-5.3
6/4/2009,501.1,512.75,492.4,500.95,502.6722939,109467,2343,55026028,50555,46.18,20.35,-0.15
6/3/2009,488,516.05,487.9,499.2,504.9343453,111599,3460,56350168,29821,26.72,28.15,11.2
6/2/2009,488,490,415,483.05,477.5871853,46665,1453,22286606,13971,29.94,75,-4.95
6/1/2009,471.95,486.5,461,478.35,473.5258122,58732,1973,27811118,19989,34.03,25.5,6.4
5/29/2009,454,479,450.1,467.3,469.8176265,106907,3532,50226793,28884,27.02,28.9,13.3
5/28/2009,447,460,442,447.4,454.5670168,36461,1328,16573968,15207,41.71,18,0.4
5/27/2009,440,453.4,431,448.45,443.7539296,47588,1516,21117362,18061,37.95,22.4,8.45
5/26/2009,461,461,418.55,425.85,439.4115491,41198,1535,18102877,18162,44.08,42.45,-35.15
5/25/2009,436.05,469.5,403.05,455.4,457.7310795,64216,2036,29393659,19664,30.62,66.45,19.35
5/22/2009,435,457,429,450.45,447.0571252,61514,2040,27500272,19702,32.03,28,15.45
5/21/2009,458.5,468,430.2,435,451.4797974,75040,2367,33879044,29613,39.46,37.8,-23.5
5/20/2009,400,469,392.4,451.85,441.354731,217796,5924,96125295,48384,22.22,76.6,51.85
5/19/2009,309,427.8,309,399.95,400.21687,214760,6520,85950575,53060,24.71,118.8,90.95
5/18/2009,370.5,388,370.5,384.3,382.4912631,2003,40,766130,2002,99.95,17.5,13.8
5/15/2009,344.5,355,341,347,346.8480386,88075,2012,30548641,42465,48.21,14,2.5
5/14/2009,335,353.5,332,344.05,343.87302,91983,3408,31630472,14932,16.23,21.5,9.05
5/13/2009,340,353,335.25,343.95,345.3039106,149952,4572,51779012,43286,28.87,17.75,3.95
5/12/2009,332,341.9,329,336.65,335.7190743,56175,2321,18859019,10656,18.97,12.9,4.65
5/8/2009,346,348.55,331.5,335.2,340.1256832,50134,2137,17051861,15413,30.74,17.05,-10.8
5/7/2009,345.1,352.35,341,343.15,346.5333298,95275,3091,33015963,27537,28.9,11.35,-1.95
5/6/2009,347.4,355.8,331.1,338.15,345.0055326,192316,5515,66350084,61837,32.15,24.7,-9.25
5/5/2009,342.7,357.75,338,344.15,348.2170069,200648,5702,69869046,45686,22.77,19.75,1.45
5/4/2009,330,344,325.1,340.85,335.0056131,322639,5683,108085876,111346,34.51,18.9,10.85
4/29/2009,312.3,340.7,302.15,326.95,323.5525067,327444,7781,105945327,80074,24.45,38.55,14.65
4/28/2009,324,327,302,303.9,313.8086763,59219,2340,18583436,23356,39.44,25,-20.1
4/27/2009,320.1,332.4,316,320.4,325.2325599,66069,2556,21487790,12774,19.33,16.4,0.3
4/24/2009,333.5,333.5,314,318.15,321.6426914,116801,3223,37568188,31257,26.76,19.5,-15.35
4/23/2009,331,331.9,314.05,325.5,323.4742348,49039,2057,15862853,11877,24.22,17.85,-5.5
4/22/2009,344,356.7,326,328.1,342.3332747,79562,2942,27236720,13964,17.55,30.7,-15.9
4/21/2009,330,349.4,329.9,338.35,341.9544416,74849,2830,25594948,11644,15.56,19.5,8.35
4/20/2009,328.25,350.1,321,341.75,340.3799979,151214,3325,51470221,62557,41.37,29.1,13.5
4/17/2009,334.9,350.9,321.6,324.2,336.2146999,87429,3531,29394915,13262,15.17,29.3,-10.7
4/16/2009,357.8,372.9,324.2,328.1,351.8533829,200229,6024,70451251,25324,12.65,48.7,-29.7
4/15/2009,322.9,360,319.2,348.95,342.2127844,183740,4490,62878177,51580,28.07,40.8,26.05
4/13/2009,308.5,329,305,323.5,319.7706915,167883,4324,53684063,44114,26.28,24,15
4/9/2009,310.1,317,301,303.65,309.0135203,83948,3351,25941067,25088,29.89,16,-6.45
4/8/2009,292.2,311.45,291.15,307.5,304.1818182,78012,2824,23729832,18956,24.3,20.3,15.3
4/6/2009,299.8,311.2,295.3,300.7,304.3836629,132533,3870,40340880,31637,23.87,15.9,0.9
4/2/2009,289.9,301.8,285.1,294.05,294.0333447,158196,4673,46514899,44816,28.33,16.7,4.15
4/1/2009,280,292.85,223.7,282.15,284.7955207,70100,2317,19964166,16587,23.66,69.15,2.15
3/31/2009,282.8,293.3,275.1,278.15,283.7131173,114688,3019,32538490,32921,28.7,18.2,-4.65
3/30/2009,274.45,282.8,260.35,276.15,272.9892337,55915,2373,15264193,14433,25.81,22.45,1.7
3/27/2009,275.9,283.95,271.55,274.95,276.8939096,67697,2205,18744887,12345,18.24,12.4,-0.95
3/26/2009,265,277.2,264.55,272.55,272.6512911,128494,3337,35034055,28851,22.45,12.65,7.55
3/25/2009,262,265,259.95,262.6,262.3296945,27756,967,7281223,7109,25.61,5.05,0.6
3/24/2009,269.55,271,257.05,261.15,265.8532741,77914,2254,20713692,15224,19.54,13.95,-8.4
3/23/2009,264.95,268.9,259.05,265.65,264.8456911,95581,2171,25314216,20650,21.6,9.85,0.7
3/20/2009,260.25,266,258,260.6,263.0320476,50113,1284,13181325,9976,19.91,8,0.35
3/19/2009,260,269.45,259.5,262.7,264.1067436,86675,2782,22891452,15128,17.45,9.95,2.7
3/18/2009,258.1,265,256,257.95,261.7801481,64407,1969,16860474,13161,20.43,9,-0.15
3/17/2009,261,271.4,253.55,256,263.9776888,185243,4874,48900019,25665,13.85,17.85,-5
3/16/2009,254,263.8,251,259.45,258.4667714,126081,3418,32587749,25660,20.35,12.8,5.45
3/13/2009,247,256,247,251.7,252.546035,97578,2931,24642937,10956,11.23,9,4.7
3/12/2009,255,255.8,239.5,245.3,246.0650861,151046,5151,37167147,12233,8.1,16.3,-9.7
3/9/2009,249.7,254.8,238.65,248.1,247.7113266,132229,4659,32754621,11542,8.73,16.15,-1.6
3/6/2009,248,257,240,253.7,248.725419,189598,5714,47157842,19424,10.24,17,5.7
3/5/2009,272,275.8,245.05,251.7,262.8520444,233766,6793,61445871,24818,10.62,30.75,-20.3
3/4/2009,294.95,296,265.25,269.3,277.5081019,288761,8487,80133517,38930,13.48,30.75,-25.65
3/3/2009,308,317.8,288.1,298.55,309.2098762,141107,5157,43631678,20856,14.78,29.7,-9.45
3/2/2009,307.9,321.75,305.95,309.75,315.189561,197989,6362,62404066,17069,8.62,15.8,1.85
2/27/2009,315.4,324,310.2,312.05,315.8514732,114821,3826,36266382,15821,13.78,13.8,-3.35
2/26/2009,310,323.7,306,317.55,316.669646,373018,10514,118123478,24061,6.45,17.7,7.55
2/25/2009,329,335,308.25,311.3,319.5182131,468647,13429,149741252,39674,8.47,26.75,-17.7
2/24/2009,300,328.75,292.8,325.3,313.9822857,764299,20192,239976347,58566,7.66,35.95,25.3
2/20/2009,294,304,285.65,300.75,296.9012674,395766,11591,117503427,39850,10.07,18.35,6.75
2/19/2009,284.3,302,281.9,297.2,292.905279,358231,10143,104927751,45118,12.59,20.1,12.9
2/18/2009,255.1,288.2,255.1,283.15,279.744809,270566,10055,75689434,38430,14.2,33.1,28.05
2/17/2009,263,267,258.8,259.6,262.0356527,27852,1223,7298217,10723,38.5,8.2,-3.4
2/16/2009,287,290,269.1,270.8,277.2974198,40384,2239,11198379,16747,41.47,20.9,-16.2
2/13/2009,289.8,295,283.1,286,290.0229487,58609,2889,16997955,14038,23.95,11.9,-3.8
2/12/2009,293,301.6,282.1,284.65,293.8209671,185748,6832,54576657,37666,20.28,19.5,-8.35
2/11/2009,272,296.9,270,292.85,284.8335153,198799,6629,56624618,33202,16.7,26.9,20.85
2/10/2009,279,291.7,268,277.3,282.8484887,281286,9144,79561320,36024,12.81,23.7,-1.7
2/9/2009,247,284,246,275.25,265.916077,407576,10119,108381011,59822,14.68,38,28.25
2/6/2009,231,248,231,243.95,240.4678877,79549,2225,19128980,29847,37.52,17,12.95
2/4/2009,230,231.6,228.15,229.1,229.7547386,11343,466,2606108,5446,48.01,3.45,-0.9
2/3/2009,227.1,232.8,225,227,228.7917985,7901,452,1807684,2752,34.83,7.8,-0.1
2/2/2009,227.35,238.35,223.1,226.3,231.7115547,30706,1438,7114935,6911,22.51,15.25,-1.05
1/30/2009,218.05,229,215,227.45,223.7948855,29993,1075,6712280,12145,40.49,14,9.4
1/29/2009,233,233.95,221.1,222.85,227.1578694,20745,912,4712390,9194,44.32,12.85,-10.15
1/28/2009,229,234.9,225.2,230.1,230.6632199,20019,782,4617647,7387,36.9,9.7,1.1
1/23/2009,230,237,220,221.55,225.3329422,18748,1020,4224542,7748,41.33,17,-8.45
1/22/2009,245,245,231.1,235.05,235.9710709,10785,656,2544948,4440,41.17,13.9,-9.95
1/21/2009,245,247.7,233.1,239.55,239.5474546,27226,1138,6521919,9394,34.5,14.6,-5.45
1/20/2009,245,255,238,248.55,249.8144887,125270,4451,31294261,11998,9.58,17,3.55
1/19/2009,236,249.4,236,247.55,244.7162897,35857,1379,8774792,14112,39.36,13.4,11.55
1/16/2009,228,238,228,234.2,233.2506381,9795,483,2284690,4083,41.68,10,6.2
1/15/2009,224.5,231,224.5,228.25,228.7823081,5641,319,1290561,2603,46.14,6.5,3.75
1/14/2009,228.4,236.9,228,233.8,233.0175016,9142,542,2130246,3239,35.43,8.9,5.4
1/13/2009,226.85,235,222,224.55,229.5871028,12933,917,2969250,3566,27.57,13,-2.3
1/12/2009,228.9,239.2,227,229.15,230.7373583,14377,742,3317311,5989,41.66,12.2,0.25
1/9/2009,236.55,239.95,224,233.6,232.2777095,32534,1120,7556923,11886,36.53,15.95,-2.95
1/7/2009,273.45,274,239.2,241.9,252.8029079,45806,1686,11579890,22565,49.26,34.8,-31.55
1/6/2009,276.45,282.85,266.15,270.15,275.6957111,72257,2216,19920945,25572,35.39,16.7,-6.3
1/5/2009,265,284.95,252.15,274.4,274.9542006,153299,3812,42150204,77985,50.87,32.8,9.4
1/2/2009,260,269,259,261.85,264.3236433,57310,1909,15148388,19528,34.07,10,1.85
1/1/2009,242.9,262.75,239.2,256.95,254.9993174,52743,2093,13449429,14183,26.89,23.55,14.05
12/31/2008,245,246,238.5,239.95,242.3753301,19311,887,4680510,6494,33.63,7.5,-5.05
12/30/2008,235,242.9,234,239.65,238.3102126,20083,1017,4785984,6718,33.45,8.9,4.65
12/29/2008,225,238.45,220,233.65,227.8678829,16773,861,3822028,6927,41.3,18.45,8.65
12/26/2008,230,236.25,221.55,224,229.7353595,15300,815,3514951,6617,43.25,14.7,-6
12/24/2008,237.5,237.8,225.2,227.95,230.1357962,25715,1075,5917942,12709,49.42,12.6,-9.55
12/23/2008,252,252,234.5,238.95,244.3466682,25647,1084,6266759,13882,54.13,17.5,-13.05
